tx_id,timestamp,amount,currency,sender_account,receiver_account,sender_country,receiver_country,purpose_code,customer_id,risk_rating,kyc_completed,retention_period,initiator_id,approver_id,source_of_funds
9020ef9d-3b9c-486d-bfa7-1c11ae430c8f,2016-08-18T12:50:50,2175.9,EUR,7135934010245894,5472274365798094,DE,US,PAYMENT,6c5c20ee-9e93-4612-84de-6e0625eed724,Low,True,7.0,EMP-3985,EMP-9011,Salary
e1856153-2fb2-4e48-b24f-b9afc0c6356c,1998-08-31T06:59:26,452.57,EUR,6158861823907381,4987630171379135,BR,CN,CASH,57c764f9-f14f-482d-b88c-733715786811,Low,False,5.0,EMP-9529,EMP-4884,Investment
d5ae2a52-72dc-430c-b633-1b7173fa09b1,1970-12-26T14:06:44,7743.4,USD,4345675026020525,7848987350712086,DE,CN,TRANSFER,06335296-021c-403b-b7bb-58d29bdc6c3e,Medium,False,1.0,EMP-4424,EMP-9335,
4a5b12a7-9a65-4d0a-83ee-bbf8cc326213,2003-02-13T00:08:58,3792.45,USD,6517158108410691,9805785934307879,FR,DE,PAYMENT,386df81a-707b-4cee-8c40-9e9b3fc7e172,Low,True,10.0,EMP-4013,EMP-0103,Gift
a123151a-8a97-4b1a-bec3-af7cd002b966,2013-10-01T07:55:22,15705.77,GBP,4087539925699626,5254001947325060,DE,US,PAYMENT,983a85a2-82d0-42d4-ad2a-89fd56499f62,Low,True,5.0,EMP-3189,EMP-3412,Investment
f19cce75-edfc-4d14-ad65-fdb8f104ff3e,2011-01-18T00:04:32,21213.62,USD,2187030335995476,1267549701665846,US,CN,TRANSFER,e9a37e50-2cdd-4f9e-8649-fdd1dc034f6b,High,False,5.0,EMP-4108,EMP-7113,Investment
d9910d7f-9b00-4e35-9078-c467405ed437,2007-11-21T17:37:20,183.31,EUR,8568646684797277,2726451848743781,FR,FR,CASH,92b7013a-9139-417d-91f2-2cbc2ebc0369,Medium,False,3.0,EMP-3308,EMP-9150,
cbe1abfd-6824-4773-898c-441fb7e0de85,1993-08-29T12:10:27,13290.84,EUR,0994322041196527,0756715422361425,FR,DE,PAYMENT,7ca864ae-112e-4f61-bd4e-807b6c819c07,Low,False,3.0,EMP-1523,EMP-9611,Gift
866e5cbd-97ae-41fb-a003-604a176c5f5e,1997-04-22T14:05:50,4378.85,EUR,4362797637725401,5321917683308457,DE,DE,PAYMENT,4ccd08a5-d6dc-465e-873e-63a5b53a882b,Low,False,5.0,EMP-2100,EMP-2574,Investment
6034be71-551b-468a-a063-3f2c5db93620,1970-06-15T03:36:08,6983.95,EUR,6222469245903627,8012697432020015,DE,DE,TRANSFER,275cfd2a-3b06-4173-bb0f-db94a15ba968,Medium,False,10.0,EMP-0715,EMP-0962,Investment
24b09aad-8d48-4bbc-b33f-d4f66e248d56,2024-03-27T19:13:12,4915.0,EUR,8266267530758822,0155819059379773,BR,DE,PAYMENT,34b7f004-1bf5-49a5-9ff9-84e558fbeb75,Low,False,5.0,EMP-5632,EMP-3703,Gift
bd7cd55f-45e3-4212-b3f8-61029c472954,1996-06-23T05:32:49,7431.68,USD,1928178293077689,6015140392841972,BR,US,PAYMENT,f3c88e99-c01e-4199-945e-41246c86888d,Low,True,5.0,EMP-3553,EMP-9518,Investment
28794d6e-ddc1-4326-9501-9365b9b5be45,1974-11-06T13:55:58,5084.15,USD,8459984783366801,9595344729514315,FR,US,TRANSFER,fc8f0317-19b6-430f-8592-bd46df931f3c,High,False,5.0,EMP-6066,EMP-3808,
93efe7fe-f8cd-477c-8165-cd329cadb857,2010-04-15T01:08:04,10545.73,EUR,8816453747454512,0177576989756643,US,BR,PAYMENT,1ce78c52-5710-412c-8151-4b491615bc3e,Medium,True,5.0,EMP-8799,EMP-0108,Salary
841e1ef9-b435-4847-a484-d09edc25cfa5,2020-03-22T05:02:23,6567.06,EUR,6694143717135892,0556481001802164,DE,FR,CASH,e72ef0b6-2da1-4418-8c7a-f3a89a9cda4b,Low,False,3.0,EMP-2242,EMP-7673,Gift
42014a8b-5093-4ae3-aa4a-ddebcd2bb431,2000-06-17T05:56:46,190.59,GBP,6370354161045927,2827302093597779,DE,US,TRANSFER,4c7276ee-9b86-4a93-a63a-1cf506d93f85,Medium,True,7.0,EMP-0240,EMP-8869,
