TXID: 8e7d832e-c436-4486-8eca-84f804e1aede | Timestamp: 2014-02-20T04:20:41 | Amount: 1604.22 | Currency: GBP | SenderAcct: 9825360614326898 | ReceiverAcct: 0845323509129135 | SenderCountry: BR | ReceiverCountry: CN | Purpose: PAYMENT | CustomerID: 2f860f15-72db-4eb3-928c-812e261b51bf | RiskRating: High | KYC: False | Retention: 7 | Initiator: EMP-0818 | Approver: EMP-5596 | SOF: None
TXID: 8150fb7d-1e9f-4b21-a86c-8b2805f54c3f | Timestamp: 2021-03-11T12:36:51 | Amount: 2077.87 | Currency: USD | SenderAcct: 8186718888516679 | ReceiverAcct: 6892100764909114 | SenderCountry: US | ReceiverCountry: BR | Purpose: TRANSFER | CustomerID: aecde617-560f-4740-8282-81661bc86d54 | RiskRating: Medium | KYC: True | Retention: 10 | Initiator: EMP-5583 | Approver: EMP-2484 | SOF: Gift
TXID: 16aab60d-29ab-47b5-a658-569ccc953bba | Timestamp: 2020-06-16T09:50:17 | Amount: 11883.62 | Currency: GBP | SenderAcct: 8698800285502993 | ReceiverAcct: 7195810362827322 | SenderCountry: FR | ReceiverCountry: US | Purpose: PAYMENT | CustomerID: 6ade65f2-dc19-4767-adc8-c480d90b15aa | RiskRating: Low | KYC: False | Retention: 5 | Initiator: EMP-9657 | Approver: EMP-0863 | SOF: Gift
TXID: 43f74e88-fd4c-43ec-99a2-d62aafa8520d | Timestamp: 2019-09-05T19:03:35 | Amount: 3468.17 | Currency: GBP | SenderAcct: 8902612693735052 | ReceiverAcct: 7144089098991488 | SenderCountry: DE | ReceiverCountry: DE | Purpose: TRANSFER | CustomerID: c213e2f6-8503-4257-82a2-e3e63f0c89b3 | RiskRating: High | KYC: False | Retention: 7 | Initiator: EMP-5559 | Approver: EMP-3646 | SOF: Gift
TXID: 513011f8-f1f7-4fe2-b63c-0cb03f7ecf04 | Timestamp: 1987-10-02T13:25:30 | Amount: 5656.56 | Currency: GBP | SenderAcct: 0238586750698545 | ReceiverAcct: 0029070184193648 | SenderCountry: US | ReceiverCountry: FR | Purpose: PAYMENT | CustomerID: eb239356-9912-4559-bb27-c83919d2bb50 | RiskRating: Medium | KYC: False | Retention: 7 | Initiator: EMP-5197 | Approver: EMP-0740 | SOF: Gift
TXID: 8a49cbd0-5afb-4754-9f42-64a6c46c5c38 | Timestamp: 2007-04-19T17:35:52 | Amount: 8531.48 | Currency: EUR | SenderAcct: 7026362920743931 | ReceiverAcct: 7750614139028235 | SenderCountry: US | ReceiverCountry: BR | Purpose: CASH | CustomerID: 904bb711-68f4-49b6-b759-f3b36f9a4ba7 | RiskRating: Low | KYC: False | Retention: 3 | Initiator: EMP-6012 | Approver: EMP-4673 | SOF: Salary
TXID: c7776c08-5a3c-4b3d-9170-6bfc0fc5a190 | Timestamp: 1985-06-17T06:03:46 | Amount: 15315.82 | Currency: EUR | SenderAcct: 1045727279121020 | ReceiverAcct: 0630688962962940 | SenderCountry: US | ReceiverCountry: FR | Purpose: TRANSFER | CustomerID: c424cd8a-a8f3-4c67-851e-f26277831431 | RiskRating: Low | KYC: False | Retention: 10 | Initiator: EMP-2472 | Approver: EMP-7306 | SOF: None
TXID: b4c59d25-4d6b-486d-b896-b76674ab18bd | Timestamp: 2006-06-08T16:24:06 | Amount: 27806.5 | Currency: EUR | SenderAcct: 4610070254365196 | ReceiverAcct: 8742546398430025 | SenderCountry: CN | ReceiverCountry: DE | Purpose: CASH | CustomerID: c7a18641-b8f5-4ee2-b893-935a67c8ec68 | RiskRating: High | KYC: True | Retention: 1 | Initiator: EMP-9054 | Approver: EMP-0748 | SOF: Gift
TXID: 2a03bc5a-472f-426e-a830-c95cff644efc | Timestamp: 2005-09-07T04:36:31 | Amount: 11613.4 | Currency: USD | SenderAcct: 2901279115021158 | ReceiverAcct: 7563636433983371 | SenderCountry: CN | ReceiverCountry: US | Purpose: TRANSFER | CustomerID: 12217b2d-0c5c-41d1-b5ea-e58cfa81a182 | RiskRating: High | KYC: False | Retention: 3 | Initiator: EMP-9230 | Approver: EMP-4050 | SOF: None
TXID: 280f877c-5380-48ff-a410-220497678866 | Timestamp: 1987-08-23T20:57:32 | Amount: 9000.68 | Currency: GBP | SenderAcct: 6604881354025187 | ReceiverAcct: 2006250206912180 | SenderCountry: US | ReceiverCountry: DE | Purpose: PAYMENT | CustomerID: 311e81fb-e54f-4354-8525-b7a64447860e | RiskRating: Medium | KYC: False | Retention: 7 | Initiator: EMP-9664 | Approver: EMP-8289 | SOF: None
TXID: 69149ee8-4023-413c-8bbc-ce0052dcb3d5 | Timestamp: 1999-09-04T06:56:23 | Amount: 10461.32 | Currency: USD | SenderAcct: 4105328064052082 | ReceiverAcct: 2474155086075590 | SenderCountry: BR | ReceiverCountry: BR | Purpose: PAYMENT | CustomerID: cbc12507-1f22-4ca1-9dec-d27271fd9188 | RiskRating: Medium | KYC: True | Retention: 7 | Initiator: EMP-5544 | Approver: EMP-7392 | SOF: Gift
